chrom	length	bases	mean	min	max
1	41732233	1269426057	30.42	0	28330
2	47849963	1283524171	26.82	0	15512
3	50382502	1293103450	25.67	0	15865
4	39677845	1104978301	27.85	0	16592
5	46702114	1311281551	28.08	0	30530
6	36371416	1004341328	27.61	0	18736
7	35460007	1355107232	38.22	0	26407
8	40988899	1053053483	25.69	0	16370
9	56381885	1899913184	33.70	0	17578
ML552055	47661	245297	5.15	0	48
ML552056	46909	723398	15.42	0	106
ML552057	40232	6467429	160.75	0	6448
ML552058	28202	3743184	132.73	0	3091
ML552059	21634	907348	41.94	0	1405
total	395731502	11586815413	29.28	0	30530
