chrom	length	bases	mean	min	max
1	41732233	1737821408	41.64	0	20909
2	47849963	1568832209	32.79	0	17806
3	50382502	1680500503	33.35	0	14632
4	39677845	1278252720	32.22	0	9422
5	46702114	1603912651	34.34	0	21071
6	36371416	1266685339	34.83	0	7899
7	35460007	1512314979	42.65	0	28984
8	40988899	1118836155	27.30	0	5775
9	56381885	1847843318	32.77	0	9138
ML552055	47661	864502	18.14	0	70
ML552056	46909	726696	15.49	0	112
ML552057	40232	10279941	255.52	0	6906
ML552058	28202	3198683	113.42	0	2344
ML552059	21634	927813	42.89	0	804
total	395731502	13630996917	34.45	0	28984
