chrom	length	bases	mean	min	max
1	41732233	1139994334	27.32	0	23758
2	47849963	1127254364	23.56	0	20167
3	50382502	1165667053	23.14	0	18884
4	39677845	985229519	24.83	0	24641
5	46702114	1108423770	23.73	0	19822
6	36371416	931822854	25.62	0	26529
7	35460007	1041061111	29.36	0	20729
8	40988899	893762753	21.80	0	21892
9	56381885	1840619694	32.65	0	24056
ML552055	47661	40502	0.85	0	12
ML552056	46909	697397	14.87	0	48
ML552057	40232	11699931	290.81	0	18015
ML552058	28202	2116196	75.04	0	1541
ML552059	21634	9678	0.45	0	25
total	395731502	10248399156	25.90	0	26529
