chrom	length	bases	mean	min	max
1	41732233	2088201457	50.04	0	22116
2	47849963	1934295572	40.42	0	15865
3	50382502	1850438812	36.73	0	19142
4	39677845	1775175667	44.74	0	11722
5	46702114	1886884081	40.40	0	21197
6	36371416	1632662034	44.89	0	11832
7	35460007	1933274702	54.52	0	47670
8	40988899	1417131770	34.57	0	8232
9	56381885	2373700403	42.10	0	9766
ML552055	47661	248244	5.21	0	54
ML552056	46909	1128729	24.06	0	119
ML552057	40232	22495260	559.14	0	19735
ML552058	28202	4326275	153.40	0	2801
ML552059	21634	5437949	251.36	0	2279
total	395731502	16925400955	42.77	0	47670
