chrom	length	bases	mean	min	max
1	41732233	1148748077	27.53	0	29302
2	47849963	1133364236	23.69	0	17660
3	50382502	1156747653	22.96	0	17385
4	39677845	1004291829	25.31	0	17602
5	46702114	1169012638	25.03	0	23084
6	36371416	1080605345	29.71	0	20756
7	35460007	1170554558	33.01	0	27492
8	40988899	930020073	22.69	0	18100
9	56381885	1784852910	31.66	0	20329
ML552055	47661	217436	4.56	0	60
ML552056	46909	1048740	22.36	0	200
ML552057	40232	4012444	99.73	0	1698
ML552058	28202	3816605	135.33	0	2657
ML552059	21634	816674	37.75	0	1260
total	395731502	10588109218	26.76	0	29302
