chrom	length	bases	mean	min	max
1	41732233	1779980044	42.65	0	31956
2	47849963	1745413861	36.48	0	25290
3	50382502	1669096668	33.13	0	14456
4	39677845	1404779915	35.40	0	4750
5	46702114	1712668733	36.67	0	14827
6	36371416	1425687968	39.20	0	12132
7	35460007	1709318157	48.20	0	31705
8	40988899	1278801474	31.20	0	11886
9	56381885	2036012527	36.11	0	9033
ML552055	47661	104009	2.18	0	34
ML552056	46909	1197798	25.53	0	128
ML552057	40232	32663158	811.87	0	28373
ML552058	28202	4533899	160.77	0	3172
ML552059	21634	1503748	69.51	0	1152
total	395731502	14801761959	37.40	0	31956
