chrom	length	bases	mean	min	max
1	41732233	1412018785	33.84	0	24271
2	47849963	1512022013	31.60	0	29590
3	50382502	1377160512	27.33	0	11840
4	39677845	1158585966	29.20	0	11487
5	46702114	1439447143	30.82	0	16182
6	36371416	1194440273	32.84	0	13693
7	35460007	1359082490	38.33	0	12716
8	40988899	1197317326	29.21	0	11613
9	56381885	1874015610	33.24	0	12411
ML552055	47661	135486	2.84	0	25
ML552056	46909	996043	21.23	0	148
ML552057	40232	11488018	285.54	0	15490
ML552058	28202	4730394	167.73	0	3576
ML552059	21634	14295	0.66	0	23
total	395731502	12541454354	31.69	0	29590
