chrom	length	bases	mean	min	max
1	41732233	1514684745	36.30	0	32444
2	47849963	1509120239	31.54	0	19329
3	50382502	1549987709	30.76	0	20140
4	39677845	1315330305	33.15	0	19710
5	46702114	1551460180	33.22	0	24806
6	36371416	1262704267	34.72	0	40355
7	35460007	1436856084	40.52	0	25997
8	40988899	1222002054	29.81	0	20893
9	56381885	2294953685	40.70	0	22011
ML552055	47661	244561	5.13	0	52
ML552056	46909	1415708	30.18	0	275
ML552057	40232	3854003	95.79	0	1861
ML552058	28202	2836994	100.60	0	2273
ML552059	21634	899256	41.57	0	1359
total	395731502	13666349790	34.53	0	40355
