chrom	length	bases	mean	min	max
1	41732233	1571124418	37.65	0	29040
2	47849963	1723794070	36.02	0	19686
3	50382502	1637936510	32.51	0	11110
4	39677845	1338674104	33.74	0	8575
5	46702114	1661161829	35.57	0	23984
6	36371416	1317600026	36.23	0	40339
7	35460007	1569341202	44.26	0	23324
8	40988899	1331168884	32.48	0	8973
9	56381885	2159231871	38.30	0	9310
ML552055	47661	279451	5.86	0	47
ML552056	46909	1016145	21.66	0	125
ML552057	40232	7221109	179.49	0	7500
ML552058	28202	3934778	139.52	0	2910
ML552059	21634	914103	42.25	0	1335
total	395731502	14323398500	36.19	0	40339
