chrom	length	bases	mean	min	max
1	41732233	2136073584	51.19	0	51605
2	47849963	2173978857	45.43	0	33797
3	50382502	2280692030	45.27	0	31810
4	39677845	1915274138	48.27	0	32936
5	46702114	2274341755	48.70	0	52938
6	36371416	1808679084	49.73	0	40152
7	35460007	2207651444	62.26	0	59586
8	40988899	1901698894	46.40	0	34010
9	56381885	2850898233	50.56	0	33152
ML552055	47661	283561	5.95	0	129
ML552056	46909	1653307	35.24	0	239
ML552057	40232	14581780	362.44	0	6650
ML552058	28202	5233234	185.56	0	3176
ML552059	21634	3148716	145.54	0	4496
total	395731502	19574188617	49.46	0	59586
