chrom	length	bases	mean	min	max
1	41732233	2205494177	52.85	0	25626
2	47849963	2136509749	44.65	0	26140
3	50382502	2283776635	45.33	0	27268
4	39677845	1868386513	47.09	0	28751
5	46702114	2264599713	48.49	0	28875
6	36371416	1723417435	47.38	0	31011
7	35460007	1989878635	56.12	0	33024
8	40988899	1693113581	41.31	0	28222
9	56381885	3188811428	56.56	0	30068
ML552055	47661	123000	2.58	0	41
ML552056	46909	1454904	31.02	0	243
ML552057	40232	11541384	286.87	0	10085
ML552058	28202	4712221	167.09	0	3506
ML552059	21634	1142407	52.81	0	897
total	395731502	19372961782	48.95	0	33024
