chrom	length	bases	mean	min	max
1	41732233	2095800431	50.22	0	30162
2	47849963	2371357698	49.56	0	42200
3	50382502	2228259417	44.23	0	18000
4	39677845	1841894213	46.42	0	16121
5	46702114	2228250701	47.71	0	27551
6	36371416	1722946497	47.37	0	19762
7	35460007	2203786675	62.15	0	34853
8	40988899	1776205011	43.33	0	17916
9	56381885	2974737303	52.76	0	16372
ML552055	47661	219976	4.62	0	75
ML552056	46909	2016565	42.99	0	350
ML552057	40232	8291470	206.09	0	3248
ML552058	28202	5788790	205.26	0	4120
ML552059	21634	1699421	78.55	0	2035
total	395731502	19461254168	49.18	0	42200
