chrom	length	bases	mean	min	max
1	41732233	1423858037	34.12	0	38261
2	47849963	1397582585	29.21	0	25720
3	50382502	1410062021	27.99	0	26623
4	39677845	1275420476	32.14	0	29826
5	46702114	1470504542	31.49	0	26670
6	36371416	1229634871	33.81	0	32838
7	35460007	1350958546	38.10	0	26444
8	40988899	1164921431	28.42	0	26939
9	56381885	2315199578	41.06	0	28898
ML552055	47661	213312	4.48	0	53
ML552056	46909	1293280	27.57	0	249
ML552057	40232	8827178	219.41	0	8319
ML552058	28202	2569231	91.10	0	2082
ML552059	21634	986368	45.59	0	1440
total	395731502	13052031456	32.98	0	38261
