chrom	length	bases	mean	min	max
1	41732233	1636973536	39.23	0	37600
2	47849963	1667270774	34.84	0	11412
3	50382502	1687519959	33.49	0	14534
4	39677845	1405053141	35.41	0	11999
5	46702114	1701512897	36.43	0	32121
6	36371416	1389649991	38.21	0	47241
7	35460007	1633010741	46.05	0	31419
8	40988899	1422631024	34.71	0	19231
9	56381885	2269877194	40.26	0	12725
ML552055	47661	116452	2.44	0	41
ML552056	46909	1558591	33.23	0	292
ML552057	40232	5341345	132.76	0	2541
ML552058	28202	4490974	159.24	0	3332
ML552059	21634	1272468	58.82	0	1892
total	395731502	14826279087	37.47	0	47241
