chrom	length	bases	mean	min	max
1	41732233	1263647169	30.28	0	43136
2	47849963	1316003425	27.50	0	20935
3	50382502	1273563147	25.28	0	17123
4	39677845	1082287956	27.28	0	19083
5	46702114	1278314718	27.37	0	19665
6	36371416	1135494416	31.22	0	21193
7	35460007	1251926037	35.31	0	23830
8	40988899	1018898534	24.86	0	17859
9	56381885	1891714043	33.55	0	19100
ML552055	47661	324472	6.81	0	48
ML552056	46909	1115444	23.78	0	221
ML552057	40232	28845807	716.99	0	24740
ML552058	28202	3220071	114.18	0	2608
ML552059	21634	1252989	57.92	0	1491
total	395731502	11546608228	29.18	0	43136
