chrom	length	bases	mean	min	max
1	41732233	2385907296	57.17	0	29751
2	47849963	2578226154	53.88	0	36900
3	50382502	2393930146	47.52	0	18896
4	39677845	2068459615	52.13	0	21536
5	46702114	2469225598	52.87	0	24726
6	36371416	1729767460	47.56	0	22829
7	35460007	2101152787	59.25	0	34364
8	40988899	1913397137	46.68	0	19078
9	56381885	3361423426	59.62	0	21879
ML552055	47661	100328	2.11	0	37
ML552056	46909	2272674	48.45	0	439
ML552057	40232	8033377	199.68	0	2655
ML552058	28202	5117758	181.47	0	3198
ML552059	21634	1478173	68.33	0	1242
total	395731502	21018491929	53.11	0	36900
