chrom	length	bases	mean	min	max
1	41732233	1735250812	41.58	0	41734
2	47849963	1887127454	39.44	0	21574
3	50382502	1825728247	36.24	0	11815
4	39677845	1455172500	36.67	0	11457
5	46702114	1827308052	39.13	0	27904
6	36371416	1314839387	36.15	0	17424
7	35460007	1643258360	46.34	0	20188
8	40988899	1412426227	34.46	0	10385
9	56381885	2386325632	42.32	0	11449
ML552055	47661	123581	2.59	0	46
ML552056	46909	1657866	35.34	0	352
ML552057	40232	23491299	583.90	0	21921
ML552058	28202	3245319	115.07	0	2253
ML552059	21634	1171302	54.14	0	1364
total	395731502	15517126038	39.21	0	41734
