chrom	length	bases	mean	min	max
1	41732233	1245595114	29.85	0	21883
2	47849963	1387344989	28.99	0	15165
3	50382502	1323511655	26.27	0	9157
4	39677845	1051856260	26.51	0	6243
5	46702114	1320452102	28.27	0	16980
6	36371416	1116899807	30.71	0	11010
7	35460007	1347552217	38.00	0	20341
8	40988899	1024122149	24.99	0	6742
9	56381885	1715993487	30.44	0	9311
ML552055	47661	258421	5.42	0	71
ML552056	46909	940097	20.04	0	151
ML552057	40232	3972550	98.74	0	2317
ML552058	28202	5184616	183.84	0	3834
ML552059	21634	668233	30.89	0	959
total	395731502	11544351697	29.17	0	21883
