chrom	length	bases	mean	min	max
1	41732233	1229563398	29.46	0	22576
2	47849963	1379592001	28.83	0	22198
3	50382502	1310670914	26.01	0	12500
4	39677845	1073276673	27.05	0	8439
5	46702114	1297351238	27.78	0	21990
6	36371416	991036620	27.25	0	15382
7	35460007	1233838620	34.80	0	33000
8	40988899	1105696682	26.98	0	8578
9	56381885	1722111023	30.54	0	8845
ML552055	47661	1020952	21.42	0	69
ML552056	46909	1243072	26.50	0	189
ML552057	40232	5005912	124.43	0	2011
ML552058	28202	1839563	65.23	0	1089
ML552059	21634	930498	43.01	0	1113
total	395731502	11353177166	28.69	0	33000
