chrom	length	bases	mean	min	max
1	41732233	1331979564	31.92	0	36054
2	47849963	1377896117	28.80	0	13447
3	50382502	1415321980	28.09	0	19259
4	39677845	1190467516	30.00	0	13622
5	46702114	1424129770	30.49	0	23769
6	36371416	1154067473	31.73	0	23829
7	35460007	1250890174	35.28	0	19972
8	40988899	1141213066	27.84	0	14253
9	56381885	1994383349	35.37	0	14909
ML552055	47661	237316	4.98	0	51
ML552056	46909	1229307	26.21	0	212
ML552057	40232	8203858	203.91	0	7257
ML552058	28202	1578759	55.98	0	1295
ML552059	21634	908826	42.01	0	1336
total	395731502	12292507075	31.06	0	36054
