chrom	length	bases	mean	min	max
1	41732233	1334160382	31.97	0	21270
2	47849963	1340176490	28.01	0	13477
3	50382502	1292975312	25.66	0	14088
4	39677845	1148672714	28.95	0	13536
5	46702114	1348074363	28.87	0	16065
6	36371416	1138669545	31.31	0	15279
7	35460007	1246477555	35.15	0	25429
8	40988899	1015881770	24.78	0	14224
9	56381885	1876965509	33.29	0	14631
ML552055	47661	61502	1.29	0	23
ML552056	46909	725964	15.48	0	83
ML552057	40232	9952873	247.39	0	7878
ML552058	28202	3784887	134.21	0	2810
ML552059	21634	883359	40.83	0	833
total	395731502	11757462225	29.71	0	25429
