chrom	length	bases	mean	min	max
1	41732233	1534909152	36.78	0	21483
2	47849963	1497946326	31.31	0	3171
3	50382502	1483112545	29.44	0	9260
4	39677845	1222079745	30.80	0	3508
5	46702114	1527490212	32.71	0	34247
6	36371416	1137419210	31.27	0	8782
7	35460007	1464668140	41.30	0	22192
8	40988899	1192266537	29.09	0	7316
9	56381885	1871776980	33.20	0	8889
ML552055	47661	329585	6.92	0	78
ML552056	46909	994336	21.20	0	134
ML552057	40232	12913356	320.97	0	16857
ML552058	28202	3078783	109.17	0	1982
ML552059	21634	181629	8.40	0	269
total	395731502	12949166536	32.72	0	34247
