chrom	length	bases	mean	min	max
1	41732233	1641429042	39.33	0	29318
2	47849963	1516315231	31.69	0	4168
3	50382502	1493936628	29.65	0	11789
4	39677845	1239451723	31.24	0	4933
5	46702114	1590683510	34.06	0	27484
6	36371416	1230949900	33.84	0	40138
7	35460007	1500413313	42.31	0	25746
8	40988899	1209163704	29.50	0	9348
9	56381885	1867533396	33.12	0	6230
ML552055	47661	100459	2.11	0	35
ML552056	46909	1046429	22.31	0	132
ML552057	40232	8755423	217.62	0	7383
ML552058	28202	3310771	117.39	0	2229
ML552059	21634	934846	43.21	0	1139
total	395731502	13304024375	33.62	0	40138
