chrom	length	bases	mean	min	max
1	41732233	1532420820	36.72	0	26634
2	47849963	1679839622	35.11	0	19115
3	50382502	1621088553	32.18	0	11142
4	39677845	1279650201	32.25	0	8714
5	46702114	1689515247	36.18	0	16521
6	36371416	1167092210	32.09	0	12630
7	35460007	1457011875	41.09	0	25898
8	40988899	1335826506	32.59	0	9075
9	56381885	2093163228	37.12	0	9401
ML552055	47661	108749	2.28	0	40
ML552056	46909	1458175	31.09	0	332
ML552057	40232	3606954	89.65	0	1850
ML552058	28202	3319591	117.71	0	2330
ML552059	21634	904315	41.80	0	1354
total	395731502	13865006046	35.04	0	26634
