chrom	length	bases	mean	min	max
1	41732233	1590290739	38.11	0	31149
2	47849963	1590821039	33.25	0	21035
3	50382502	1624328039	32.24	0	21926
4	39677845	1414073900	35.64	0	20927
5	46702114	1645869465	35.24	0	27731
6	36371416	1372435758	37.73	0	47532
7	35460007	1583900041	44.67	0	42507
8	40988899	1321850679	32.25	0	22687
9	56381885	2444357904	43.35	0	23912
ML552055	47661	108770	2.28	0	34
ML552056	46909	1443418	30.77	0	261
ML552057	40232	4868434	121.01	0	2212
ML552058	28202	3912416	138.73	0	3293
ML552059	21634	1092395	50.49	0	1685
total	395731502	14599352997	36.89	0	47532
