chrom	length	bases	mean	min	max
1	41732233	1348280234	32.31	0	23385
2	47849963	1198917754	25.06	0	8077
3	50382502	1233225374	24.48	0	15770
4	39677845	1016008695	25.61	0	6282
5	46702114	1218795210	26.10	0	17369
6	36371416	1025413721	28.19	0	6636
7	35460007	1188905040	33.53	0	14577
8	40988899	973132449	23.74	0	12028
9	56381885	1510219667	26.79	0	11346
ML552055	47661	223683	4.69	0	47
ML552056	46909	799883	17.05	0	53
ML552057	40232	14184887	352.58	0	16997
ML552058	28202	2842428	100.79	0	1995
ML552059	21634	44497	2.06	0	62
total	395731502	10730993522	27.12	0	23385
