chrom	length	bases	mean	min	max
1	41732233	1982270633	47.50	0	24196
2	47849963	2170870046	45.37	0	42065
3	50382502	1993160290	39.56	0	21701
4	39677845	1702938343	42.92	0	20095
5	46702114	2082466067	44.59	0	50730
6	36371416	1746773135	48.03	0	21799
7	35460007	1996891385	56.31	0	36118
8	40988899	1586289014	38.70	0	18607
9	56381885	2851001282	50.57	0	20064
ML552055	47661	76051	1.60	0	23
ML552056	46909	1408407	30.02	0	180
ML552057	40232	11864568	294.90	0	11354
ML552058	28202	6435885	228.21	0	5001
ML552059	21634	1457707	67.38	0	1378
total	395731502	18133902813	45.82	0	50730
