chrom	length	bases	mean	min	max
1	41732233	1360036824	32.59	0	26152
2	47849963	1516398705	31.69	0	34553
3	50382502	1440976225	28.60	0	14653
4	39677845	1171526223	29.53	0	8661
5	46702114	1415400912	30.31	0	23170
6	36371416	1075599323	29.57	0	15071
7	35460007	1469229607	41.43	0	23946
8	40988899	1126616375	27.49	0	8938
9	56381885	1836631688	32.57	0	8601
ML552055	47661	95131	2.00	0	36
ML552056	46909	1282885	27.35	0	236
ML552057	40232	6440591	160.09	0	2738
ML552058	28202	4863829	172.46	0	3146
ML552059	21634	1351168	62.46	0	1548
total	395731502	12426449486	31.40	0	34553
