chrom	length	bases	mean	min	max
1	41732233	3209483926	76.91	0	45424
2	47849963	3307085102	69.11	0	22942
3	50382502	3384856467	67.18	0	23767
4	39677845	2807287679	70.75	0	24651
5	46702114	3375361669	72.27	0	57558
6	36371416	2513649721	69.11	0	36702
7	35460007	3038297137	85.68	0	41318
8	40988899	2679727933	65.38	0	28951
9	56381885	4507301532	79.94	0	26055
ML552055	47661	754164	15.82	0	167
ML552056	46909	3099025	66.06	0	573
ML552057	40232	9043036	224.77	0	4621
ML552058	28202	5054124	179.21	0	4092
ML552059	21634	2220088	102.62	0	3357
total	395731502	28843221603	72.89	0	57558
