chrom	length	bases	mean	min	max
1	41732233	3471724731	83.19	0	38097
2	47849963	3571373431	74.64	0	36252
3	50382502	3544807860	70.36	0	40520
4	39677845	3057516317	77.06	0	42555
5	46702114	3596396548	77.01	0	47789
6	36371416	2691456658	74.00	0	45607
7	35460007	3073011523	86.66	0	42436
8	40988899	2822653608	68.86	0	39806
9	56381885	5177677751	91.83	0	44092
ML552055	47661	587418	12.32	0	145
ML552056	46909	3528076	75.21	0	806
ML552057	40232	8734411	217.10	0	4384
ML552058	28202	3762486	133.41	0	3199
ML552059	21634	2209063	102.11	0	3045
total	395731502	31025439881	78.40	0	47789
