chrom	length	bases	mean	min	max
1	41732233	1400422025	33.56	0	22815
2	47849963	1411680065	29.50	0	16653
3	50382502	1421737469	28.22	0	17677
4	39677845	1292847151	32.58	0	17078
5	46702114	1455834860	31.17	0	25626
6	36371416	1215484429	33.42	0	47126
7	35460007	1435663352	40.49	0	38904
8	40988899	1148077433	28.01	0	20050
9	56381885	2118628696	37.58	0	19055
ML552055	47661	611144	12.82	0	70
ML552056	46909	1272362	27.12	0	244
ML552057	40232	10124691	251.66	0	19592
ML552058	28202	3719873	131.90	0	3052
ML552059	21634	5996	0.28	0	10
total	395731502	12916109546	32.64	0	47126
