chrom	length	bases	mean	min	max
1	41732233	1347782451	32.30	0	35573
2	47849963	1317608917	27.54	0	24480
3	50382502	1302545323	25.85	0	26022
4	39677845	1199987210	30.24	0	26070
5	46702114	1349899031	28.90	0	27656
6	36371416	1037203909	28.52	0	30293
7	35460007	1217485935	34.33	0	27546
8	40988899	1069217892	26.09	0	26705
9	56381885	2186014017	38.77	0	28114
ML552055	47661	118574	2.49	0	63
ML552056	46909	887353	18.92	0	115
ML552057	40232	9558940	237.60	0	10121
ML552058	28202	1947467	69.05	0	1529
ML552059	21634	907300	41.94	0	1320
total	395731502	12041164319	30.43	0	35573
