chrom	length	bases	mean	min	max
1	41732233	1629050516	39.04	0	33401
2	47849963	1629975638	34.06	0	18554
3	50382502	1642596628	32.60	0	18898
4	39677845	1420766871	35.81	0	19105
5	46702114	1675832861	35.88	0	29780
6	36371416	1350636309	37.13	0	40396
7	35460007	1563487458	44.09	0	34170
8	40988899	1325162266	32.33	0	21439
9	56381885	2404085223	42.64	0	20487
ML552055	47661	346933	7.28	0	51
ML552056	46909	1490668	31.78	0	277
ML552057	40232	9178966	228.15	0	11585
ML552058	28202	2765478	98.06	0	2024
ML552059	21634	1061534	49.07	0	1674
total	395731502	14656437349	37.04	0	40396
