chrom	length	bases	mean	min	max
1	41732233	1220283470	29.24	0	43155
2	47849963	1315062284	27.48	0	19951
3	50382502	1272831289	25.26	0	15453
4	39677845	1059650697	26.71	0	13832
5	46702114	1272822227	27.25	0	20075
6	36371416	1140571126	31.36	0	16135
7	35460007	1183749057	33.38	0	25261
8	40988899	977766462	23.85	0	13410
9	56381885	1837752553	32.59	0	14940
ML552055	47661	203867	4.28	0	40
ML552056	46909	1233960	26.31	0	261
ML552057	40232	27280452	678.08	0	25138
ML552058	28202	3015157	106.91	0	2064
ML552059	21634	1220391	56.41	0	1419
total	395731502	11313442992	28.59	0	43155
