chrom	length	bases	mean	min	max
1	41732233	1326296770	31.78	0	31845
2	47849963	1384055294	28.92	0	19779
3	50382502	1331843738	26.43	0	16124
4	39677845	1156865155	29.16	0	18181
5	46702114	1352366455	28.96	0	21033
6	36371416	1024036221	28.15	0	20216
7	35460007	1294956054	36.52	0	23923
8	40988899	1080886132	26.37	0	16518
9	56381885	1999893181	35.47	0	17421
ML552055	47661	1011635	21.23	0	58
ML552056	46909	1235227	26.33	0	253
ML552057	40232	4118292	102.36	0	1901
ML552058	28202	2899854	102.82	0	2383
ML552059	21634	950629	43.94	0	1421
total	395731502	11961414637	30.23	0	31845
