chrom	length	bases	mean	min	max
1	41732233	1062893058	25.47	0	22651
2	47849963	1026097079	21.44	0	22384
3	50382502	1036168251	20.57	0	23141
4	39677845	961300635	24.23	0	24065
5	46702114	1078333650	23.09	0	23219
6	36371416	871222634	23.95	0	27479
7	35460007	1163045962	32.80	0	24127
8	40988899	899090115	21.93	0	23909
9	56381885	1807242548	32.05	0	25552
ML552055	47661	75984	1.59	0	22
ML552056	46909	942796	20.10	0	170
ML552057	40232	2992623	74.38	0	1398
ML552058	28202	4318113	153.11	0	3417
ML552059	21634	698251	32.28	0	1009
total	395731502	9914421699	25.05	0	27479
