chrom	length	bases	mean	min	max
1	41732233	1377801626	33.02	0	35149
2	47849963	1304085629	27.25	0	20337
3	50382502	1263350573	25.08	0	20949
4	39677845	1119074720	28.20	0	21763
5	46702114	1312577241	28.11	0	24931
6	36371416	1055259513	29.01	0	35067
7	35460007	1259065248	35.51	0	20708
8	40988899	1050171197	25.62	0	21831
9	56381885	2092663488	37.12	0	23022
ML552055	47661	89224	1.87	0	28
ML552056	46909	1131593	24.12	0	236
ML552057	40232	3386845	84.18	0	1444
ML552058	28202	3620991	128.39	0	2719
ML552059	21634	773071	35.73	0	1154
total	395731502	11843050959	29.93	0	35149
