chrom	length	bases	mean	min	max
1	41732233	1852925101	44.40	0	29293
2	47849963	1944164182	40.63	0	33494
3	50382502	1785194431	35.43	0	18278
4	39677845	1408404897	35.50	0	2610
5	46702114	1755550799	37.59	0	39879
6	36371416	1293479264	35.56	0	8062
7	35460007	1636200554	46.14	0	32866
8	40988899	1371957726	33.47	0	8258
9	56381885	2097775244	37.21	0	8675
ML552055	47661	152380	3.20	0	60
ML552056	46909	770005	16.41	0	70
ML552057	40232	12917013	321.06	0	18619
ML552058	28202	2847923	100.98	0	1436
ML552059	21634	1138670	52.63	0	1431
total	395731502	15163478189	38.32	0	39879
