chrom	length	bases	mean	min	max
1	41732233	1208038774	28.95	0	43576
2	47849963	1182307800	24.71	0	18054
3	50382502	1189463117	23.61	0	18842
4	39677845	1045686704	26.35	0	21221
5	46702114	1283532747	27.48	0	23185
6	36371416	1093698745	30.07	0	23742
7	35460007	1148470626	32.39	0	19185
8	40988899	987872141	24.10	0	19292
9	56381885	1867552473	33.12	0	20677
ML552055	47661	61149	1.28	0	20
ML552056	46909	1102091	23.49	0	227
ML552057	40232	20610243	512.28	0	22808
ML552058	28202	2466881	87.47	0	2003
ML552059	21634	1086690	50.23	0	1378
total	395731502	11031950181	27.88	0	43576
