chrom	length	bases	mean	min	max
1	41732233	1132552387	27.14	0	24518
2	47849963	1081563992	22.60	0	14029
3	50382502	1003630502	19.92	0	4734
4	39677845	872887506	22.00	0	3843
5	46702114	1056027530	22.61	0	13704
6	36371416	813303926	22.36	0	6786
7	35460007	1047481865	29.54	0	19940
8	40988899	771184846	18.81	0	8835
9	56381885	1293897556	22.95	0	4557
ML552055	47661	159964	3.36	0	62
ML552056	46909	670064	14.28	0	118
ML552057	40232	11131801	276.69	0	7501
ML552058	28202	2910452	103.20	0	1842
ML552059	21634	260794	12.05	0	249
total	395731502	9087663185	22.96	0	24518
