chrom	length	bases	mean	min	max
1	41732233	1391032771	33.33	0	39212
2	47849963	1397455431	29.20	0	25262
3	50382502	1358577473	26.97	0	26508
4	39677845	1206229247	30.40	0	26069
5	46702114	1377115190	29.49	0	25335
6	36371416	1072352692	29.48	0	29454
7	35460007	1298763589	36.63	0	26960
8	40988899	1112478878	27.14	0	27254
9	56381885	2221391704	39.40	0	28277
ML552055	47661	89644	1.88	0	31
ML552056	46909	1280800	27.30	0	293
ML552057	40232	19803033	492.22	0	22967
ML552058	28202	3366766	119.38	0	2584
ML552059	21634	1148081	53.07	0	1356
total	395731502	12461085299	31.49	0	39212
