chrom	length	bases	mean	min	max
1	41732233	2056770571	49.28	0	26651
2	47849963	2205019333	46.08	0	10779
3	50382502	2218305474	44.03	0	17439
4	39677845	1809018125	45.59	0	9230
5	46702114	2188202025	46.85	0	44694
6	36371416	1644528178	45.21	0	14635
7	35460007	1998987083	56.37	0	36776
8	40988899	1675820418	40.88	0	15303
9	56381885	2755761031	48.88	0	11380
ML552055	47661	455780	9.56	0	87
ML552056	46909	904455	19.28	0	92
ML552057	40232	8748535	217.45	0	3364
ML552058	28202	2620411	92.92	0	1340
ML552059	21634	1487151	68.74	0	1772
total	395731502	18566628570	46.92	0	44694
