chrom	length	bases	mean	min	max
1	41732233	1999007190	47.90	0	22661
2	47849963	1947666471	40.70	0	9424
3	50382502	1960494586	38.91	0	10092
4	39677845	1600796546	40.34	0	4681
5	46702114	1951082024	41.78	0	20135
6	36371416	1735967985	47.73	0	12980
7	35460007	1843881814	52.00	0	24752
8	40988899	1558374295	38.02	0	10723
9	56381885	2397138057	42.52	0	11793
ML552055	47661	282754	5.93	0	74
ML552056	46909	1818457	38.77	0	301
ML552057	40232	13751955	341.82	0	4437
ML552058	28202	3817682	135.37	0	2484
ML552059	21634	3403976	157.34	0	3640
total	395731502	17017483792	43.00	0	24752
